car_id,model,transmission,mileage,fuel_type,mpg,engine_size,year
86, Q3,Manual,36714,Petrol,51.4,1.4,2017
87, A1,Manual,28324,Petrol,53.3,1.4,2014
88, A1,Manual,12100,Petrol,56.5,1.4,2016
89, Q3,Manual,18001,Diesel,62.8,2.0,2017
90, A1,Manual,28760,Petrol,55.4,1.4,2016
91, A3,Semi-Auto,4000,Petrol,44.1,1.5,2019
92, Q2,Semi-Auto,7897,Diesel,47.9,2.0,2019
93, A6,Automatic,24744,Diesel,56.5,3.0,2016
94, Q3,Automatic,30075,Diesel,51.4,2.0,2015
95, A1,Manual,12577,Petrol,58.9,1.4,2017
96, A6,Automatic,24421,Diesel,61.4,2.0,2016
97, A1,Manual,15567,Diesel,76.3,1.6,2016
98, A4,Manual,15207,Petrol,51.4,1.4,2018
99, A4,Manual,14864,Petrol,52.3,1.4,2017
100, A4,Semi-Auto,9000,Petrol,38.7,2.0,2019
101, A4,Manual,5000,Petrol,38.7,2.0,2019
102, Q2,Semi-Auto,4264,Petrol,33.2,2.0,2019
103, Q3,Manual,4000,Diesel,42.8,2.0,2019
104, Q3,Manual,4000,Petrol,42.2,1.5,2019
105, Q2,Manual,2721,Diesel,49.6,1.6,2019
106, Q2,Semi-Auto,4000,Petrol,42.2,1.5,2019
107, Q5,Semi-Auto,49649,Diesel,42.2,3.0,2016
108, A4,Manual,14068,Petrol,51.4,1.4,2017
109, A4,Manual,23092,Petrol,52.3,1.4,2017
110, Q3,Automatic,30682,Diesel,50.4,2.0,2017
111, A1,Manual,18272,Petrol,67.3,1.0,2016
112, Q2,Automatic,23714,Diesel,68.9,1.6,2017
113, A6,Automatic,71311,Diesel,61.4,2.0,2016
114, A6,Automatic,29477,Diesel,61.4,2.0,2018
115, Q5,Automatic,60551,Diesel,47.1,2.0,2016
116, A6,Automatic,42071,Diesel,61.4,2.0,2017
117, A7,Automatic,55774,Diesel,44.8,3.0,2014
118, A1,Manual,36462,Diesel,76.3,1.6,2016
119, A3,Manual,25376,Petrol,57.6,1.4,2016
120, A4,Automatic,39388,Diesel,67.3,2.0,2017
121, A3,Manual,64207,Diesel,67.3,2.0,2017
122, A1,Manual,49221,Petrol,55.4,1.4,2017
123, A1,Manual,27179,Diesel,76.3,1.6,2017
124, A4,Manual,31376,Diesel,58.9,2.0,2014
125, A5,Automatic,62668,Diesel,53.3,2.0,2015
126, A4,Manual,10001,Petrol,51.4,1.4,2017
127, A6,Automatic,52544,Diesel,61.4,2.0,2016
128, A4,Manual,63097,Petrol,49.6,2.0,2016
129, A6,Manual,72967,Diesel,61.4,2.0,2016
130, A5,Automatic,32771,Diesel,70.6,2.0,2017
131, Q3,Automatic,13303,Petrol,40.4,2.0,2018
132, A3,Manual,2752,Petrol,44.8,1.5,2019
133, Q3,Manual,23307,Diesel,49.6,2.0,2016
134, A1,Manual,34551,Petrol,67.3,1.0,2017
135, A3,Manual,25457,Diesel,68.9,1.6,2017
136, Q2,Manual,12167,Petrol,50.4,1.4,2018
137, A6,Automatic,23237,Diesel,67.3,2.0,2015
138, Q3,Automatic,11863,Diesel,50.4,2.0,2016
139, A4,Manual,21225,Diesel,72.4,2.0,2017
140, A6,Automatic,32083,Diesel,61.4,2.0,2015
141, Q5,Automatic,17039,Diesel,55.4,2.0,2017
142, A4,Manual,72026,Diesel,74.3,2.0,2016
143, A1,Manual,34824,Petrol,67.3,1.0,2017
144, A1,Manual,20351,Petrol,55.4,1.4,2017
145, A4,Automatic,58028,Petrol,52.3,2.0,2017
146, A5,Automatic,44783,Diesel,62.8,2.0,2017
147, A4,Manual,60604,Diesel,67.3,2.0,2014
148, A4,Manual,39998,Diesel,65.7,2.0,2013
149, A4,Automatic,20852,Diesel,65.7,2.0,2017
150, A6,Manual,79728,Diesel,64.2,2.0,2016
151, A6,Automatic,29095,Diesel,64.2,2.0,2017
152, A3,Manual,98940,Diesel,74.3,1.6,2013
153, A1,Manual,22780,Petrol,58.9,1.4,2016
154, A5,Manual,20832,Petrol,47.1,2.0,2018
155, Q3,Automatic,29196,Diesel,55.4,2.0,2016
156, A4,Manual,14392,Petrol,53.3,1.4,2017
157, A4,Manual,20070,Petrol,52.3,1.4,2018
158, A6,Automatic,89334,Diesel,62.8,3.0,2016
159, A1,Manual,21428,Petrol,67.3,1.0,2016
160, A4,Manual,45485,Diesel,70.6,2.0,2016
161, Q3,Manual,32704,Diesel,60.1,2.0,2016
162, Q3,Automatic,42209,Petrol,42.2,2.0,2018
163, A4,Manual,17278,Petrol,48.7,1.4,2017
164, A1,Manual,29515,Petrol,67.3,1.0,2017
165, A3,Manual,43662,Diesel,67.3,2.0,2014
166, A4,Automatic,45225,Diesel,62.8,2.0,2017
167, A6,Manual,45491,Diesel,61.4,2.0,2017
168, Q5,Manual,52267,Petrol,37.7,2.0,2014
169, A3,Semi-Auto,40807,Petrol,50.4,1.8,2014
170, Q3,Manual,65959,Diesel,49.6,2.0,2014
171, Q5,Semi-Auto,47648,Petrol,35.8,2.0,2014
172, Q5,Semi-Auto,27948,Petrol,40.9,2.0,2017
173, A4,Manual,31169,Petrol,49.6,1.8,2013
174, A4,Automatic,42011,Petrol,47.1,2.0,2013
175, A6,Semi-Auto,56115,Diesel,50.4,3.0,2015
176, A6,Semi-Auto,65835,Diesel,61.4,2.0,2015
177, A6,Semi-Auto,63383,Diesel,45.6,3.0,2017
178, Q5,Semi-Auto,34011,Petrol,34.0,3.0,2017
179, A5,Semi-Auto,52132,Diesel,49.6,3.0,2014
180, A4,Manual,38787,Diesel,55.4,2.0,2015
181, A1,Manual,34554,Petrol,55.4,1.4,2017
182, Q5,Semi-Auto,17502,Petrol,40.4,2.0,2017
183, TT,Automatic,3000,Petrol,40.9,2.0,2019
184, A6,Manual,34646,Diesel,61.4,2.0,2015
185, Q5,Semi-Auto,18000,Diesel,56.5,2.0,2017
186, Q3,Semi-Auto,17085,Petrol,47.9,1.4,2018
187, A1,Manual,48166,Diesel,72.4,1.6,2017
188, Q5,Semi-Auto,38421,Diesel,47.1,2.0,2015
189, A5,Manual,46637,Diesel,61.4,2.0,2015
190, A3,Manual,24468,Diesel,74.3,1.6,2016
191, Q5,Automatic,29343,Diesel,47.1,2.0,2017
192, A3,Manual,8449,Diesel,51.4,1.6,2019
193, A5,Manual,34679,Diesel,65.7,2.0,2017
194, A3,Semi-Auto,23860,Petrol,60.1,1.0,2018
195, A4,Automatic,21009,Petrol,35.8,3.0,2018
196, A6,Automatic,1881,Diesel,47.9,2.0,2019
197, A6,Semi-Auto,688,Diesel,47.9,2.0,2019
198, A6,Automatic,1863,Diesel,47.9,2.0,2019
199, Q7,Semi-Auto,10,Diesel,33.2,3.0,2020
200, RS6,Semi-Auto,49050,Petrol,29.4,4.0,2016
201, A4,Semi-Auto,1024,Petrol,38.7,2.0,2019
202, A4,Semi-Auto,448,Petrol,39.8,2.0,2019
203, A4,Semi-Auto,476,Petrol,39.2,2.0,2019
204, A7,Automatic,5201,Diesel,38.7,3.0,2019
205, A3,Semi-Auto,2028,Petrol,42.2,1.5,2019
206, A6,Automatic,3241,Diesel,39.2,3.0,2019
207, Q5,Automatic,355,Diesel,39.2,2.0,2019
208, A5,Automatic,18,Petrol,39.8,2.0,2019
209, A3,Automatic,3122,Petrol,41.5,1.5,2019
210, Q2,Manual,824,Petrol,40.9,1.5,2019
211, A6,Semi-Auto,2811,Diesel,47.9,2.0,2019
212, A6,Semi-Auto,27,Diesel,50.4,2.0,2019
213, A4,Semi-Auto,4254,Petrol,38.2,2.0,2019
214, A1,Semi-Auto,2252,Petrol,48.7,1.0,2019
215, Q2,Automatic,3422,Diesel,47.9,1.6,2019
216, Q2,Automatic,37,Diesel,47.9,1.6,2019
217, A4,Semi-Auto,7299,Petrol,38.2,2.0,2019
218, Q2,Semi-Auto,1414,Petrol,40.9,1.5,2019
219, Q5,Automatic,5135,Diesel,38.2,2.0,2019
220, Q5,Automatic,6024,Diesel,38.2,2.0,2019
221, Q5,Semi-Auto,10,Petrol,32.1,2.0,2020
222, Q7,Automatic,10,Diesel,33.2,3.0,2019
223, Q7,Automatic,10,Diesel,33.2,3.0,2019
224, Q5,Semi-Auto,10,Petrol,30.7,2.0,2020
225, A4,Semi-Auto,10,Petrol,42.2,2.0,2020
226, Q7,Automatic,47606,Diesel,47.9,3.0,2015
227, A1,Semi-Auto,26625,Petrol,57.6,1.4,2015
228, A5,Automatic,5071,Petrol,50.4,2.0,2018
229, A5,Semi-Auto,28011,Petrol,34.9,3.0,2015
230, Q3,Automatic,10,Diesel,47.1,2.0,2019
231, A5,Automatic,10,Diesel,51.4,2.0,2019
232, Q3,Automatic,10,Diesel,47.1,2.0,2019
233, A1,Manual,10,Petrol,49.6,1.0,2019
234, A4,Automatic,10,Diesel,53.3,2.0,2019
235, A7,Semi-Auto,10,Diesel,38.2,3.0,2019
236, A6,Automatic,2000,Diesel,47.9,2.0,2019
237, Q2,Automatic,10,Petrol,43.5,1.5,2019
238, A6,Automatic,3510,Diesel,36.2,3.0,2019
239, A3,Automatic,10,Petrol,44.8,1.5,2019
240, A5,Automatic,10,Petrol,39.8,2.0,2019
241, A5,Automatic,1010,Petrol,39.8,2.0,2019
242, A6,Semi-Auto,500,Diesel,47.9,2.0,2019
243, A4,Automatic,10,Petrol,42.8,2.0,2019
244, A3,Manual,10,Diesel,54.3,1.6,2019
245, A5,Automatic,10,Petrol,39.8,2.0,2019
246, A5,Automatic,10,Diesel,51.4,2.0,2019
247, A3,Manual,10,Diesel,51.4,1.6,2019
248, Q7,Automatic,1510,Diesel,33.2,3.0,2019
249, RS3,Semi-Auto,10,Petrol,30.1,2.5,2019
250, A4,Semi-Auto,29845,Petrol,45.6,2.0,2016
251, A3,Semi-Auto,27355,Petrol,42.8,1.8,2014
252, A4,Manual,20885,Diesel,64.2,2.0,2016
253, A3,Automatic,10534,Petrol,56.5,1.2,2014
254, A3,Manual,25895,Diesel,70.6,2.0,2016
255, A1,Manual,32867,Petrol,67.3,1.0,2016
256, Q5,Semi-Auto,42793,Diesel,47.1,2.0,2015
257, A6,Semi-Auto,49039,Diesel,50.4,3.0,2015
258, Q2,Manual,22501,Diesel,64.2,1.6,2017
259, A8,Automatic,1420,Diesel,50.4,3.0,2017
260, A5,Automatic,10,Petrol,40.4,2.0,2019
261, A5,Semi-Auto,26939,Diesel,62.8,2.0,2017
262, A8,Semi-Auto,24786,Diesel,47.9,3.0,2014
263, A4,Manual,18761,Petrol,51.4,1.4,2017
264, A5,Automatic,10,Petrol,40.4,2.0,2019
265, Q3,Manual,10,Diesel,42.8,2.0,2019
266, A4,Automatic,10,Petrol,38.7,2.0,2019
267, A3,Semi-Auto,22295,Petrol,56.5,1.4,2017
268, Q2,Manual,18068,Petrol,52.3,1.4,2017
269, A3,Manual,25000,Petrol,42.2,1.5,2018
270, Q2,Manual,23043,Petrol,55.4,1.0,2017
271, A5,Semi-Auto,80902,Diesel,60.1,2.0,2014
272, A4,Automatic,10,Diesel,50.4,2.0,2019
273, A1,Manual,10,Petrol,48.7,1.0,2019
274, Q3,Automatic,10,Diesel,47.1,2.0,2019
275, Q3,Manual,26474,Diesel,52.3,2.0,2016
276, Q5,Semi-Auto,65458,Diesel,44.1,3.0,2013
277, TT,Manual,34170,Petrol,47.1,1.8,2018
278, Q5,Semi-Auto,100,Petrol,33.2,2.0,2019
279, Q3,Automatic,650,Diesel,47.1,2.0,2019
280, Q5,Automatic,10,Diesel,38.2,2.0,2019
281, Q5,Semi-Auto,10,Petrol,33.2,2.0,2019
282, A4,Manual,2928,Petrol,41.5,2.0,2019
283, Q3,Manual,7157,Petrol,51.4,1.4,2018
284, Q3,Semi-Auto,31600,Diesel,50.4,2.0,2016
285, Q7,Semi-Auto,46600,Diesel,39.2,4.0,2016
286, A3,Manual,10,Diesel,56.5,2.0,2019
287, A5,Semi-Auto,14078,Petrol,45.6,2.0,2018
288, A5,Manual,13312,Diesel,57.6,2.0,2015
289, A6,Semi-Auto,10,Diesel,50.4,2.0,2018
290, RS6,Semi-Auto,20982,Petrol,29.4,4.0,2015
291, A6,Semi-Auto,15600,Diesel,50.4,2.0,2018
292, A6,Automatic,5429,Diesel,47.9,2.0,2019
293, Q2,Automatic,2710,Petrol,40.9,1.5,2019
294, Q7,Automatic,6423,Diesel,33.2,3.0,2019
295, A1,Manual,11017,Petrol,67.3,1.0,2017
296, Q3,Manual,16908,Petrol,51.4,1.4,2017
297, A4,Manual,28801,Petrol,49.6,2.0,2017
298, A4,Manual,23362,Petrol,50.4,1.4,2017
299, Q5,Manual,50025,Petrol,37.7,2.0,2013
300, Q8,Semi-Auto,8450,Diesel,32.8,3.0,2018
301, A6,Semi-Auto,1790,Diesel,50.4,2.0,2018
302, A4,Semi-Auto,10,Petrol,53.3,1.4,2018
303, A4,Manual,10,Petrol,52.3,1.4,2018
304, A3,Automatic,6754,Diesel,52.3,1.6,2018
305, Q3,Semi-Auto,35423,Diesel,47.9,2.0,2014
306, A3,Semi-Auto,16703,Petrol,41.5,2.0,2017
307, Q3,Manual,37203,Petrol,51.4,1.4,2017
308, A3,Semi-Auto,44405,Diesel,58.9,2.0,2013
309, Q3,Manual,79389,Diesel,50.4,2.0,2014
310, A3,Semi-Auto,61808,Diesel,57.6,2.0,2015
311, A1,Manual,10491,Petrol,67.3,1.0,2016
312, A3,Manual,19000,Petrol,49.6,2.0,2018
313, A1,Manual,18900,Petrol,67.3,1.0,2016
314, A3,Manual,50900,Diesel,68.9,2.0,2014
315, A6,Manual,49000,Diesel,29.7,2.0,2013
316, A1,Manual,23081,Petrol,39.8,2.0,2015
317, Q7,Semi-Auto,826,Diesel,29.4,4.0,2020
318, A4,Semi-Auto,5987,Petrol,38.2,2.0,2019
319, A6,Semi-Auto,2977,Diesel,47.9,2.0,2019
320, Q5,Automatic,7573,Diesel,39.2,2.0,2019
321, Q3,Manual,3055,Diesel,42.8,2.0,2019
322, A4,Automatic,22,Petrol,38.7,2.0,2019
323, A4,Automatic,2250,Diesel,51.4,2.0,2019
324, Q5,Semi-Auto,20547,Diesel,47.1,2.0,2016
325, Q5,Automatic,10,Diesel,39.2,2.0,2019
326, A5,Semi-Auto,18828,Petrol,35.8,3.0,2016
327, Q5,Semi-Auto,28,Petrol,32.1,2.0,2019
328, Q7,Automatic,38654,Diesel,47.9,3.0,2016
329, A3,Manual,25764,Petrol,40.4,2.0,2014
330, TT,Manual,28402,Diesel,62.8,2.0,2016
331, A1,Manual,17152,Petrol,56.5,1.4,2015
332, A3,Manual,29775,Petrol,60.1,1.4,2016
333, Q5,Semi-Auto,7801,Petrol,34.0,3.0,2017
334, Q5,Semi-Auto,60599,Diesel,42.8,3.0,2015
335, A1,Manual,20670,Petrol,57.6,1.4,2017
336, A3,Automatic,2257,Diesel,52.3,1.6,2019
337, A3,Manual,4039,Diesel,51.4,1.6,2019
338, A3,Manual,21241,Petrol,52.3,1.4,2016
339, Q3,Manual,16945,Diesel,49.6,2.0,2016
340, A4,Automatic,18010,Petrol,49.6,1.4,2018
341, A4,Semi-Auto,29653,Diesel,62.8,2.0,2017
342, A5,Semi-Auto,75159,Petrol,34.9,3.0,2014
343, Q3,Semi-Auto,33842,Diesel,47.9,2.0,2014
344, A3,Manual,42977,Diesel,67.3,2.0,2015
345, A4,Semi-Auto,26,Diesel,47.9,2.0,2019
346, A1,Manual,17454,Petrol,67.3,1.0,2016
347, A3,Manual,17547,Petrol,56.5,1.5,2018
348, A3,Semi-Auto,314,Petrol,34.9,2.0,2020
349, A1,Manual,25010,Petrol,58.9,1.4,2016
350, A6,Semi-Auto,3278,Diesel,47.9,2.0,2019
351, A7,Automatic,1285,Diesel,39.2,3.0,2019
352, A6,Automatic,4445,Diesel,47.9,2.0,2019
353, A4,Semi-Auto,6998,Petrol,38.2,2.0,2020
354, A4,Semi-Auto,6746,Diesel,45.6,2.0,2020
355, Q7,Semi-Auto,21245,Diesel,47.9,3.0,2015
356, A4,Manual,27394,Diesel,64.2,2.0,2017
357, A1,Manual,29283,Petrol,67.3,1.0,2016
358, A1,Manual,20905,Petrol,56.5,1.4,2016
359, A1,Manual,24386,Petrol,67.3,1.0,2017
360, TT,Semi-Auto,11621,Petrol,42.8,2.0,2017
361, A3,Semi-Auto,3409,Petrol,43.5,1.5,2019
362, Q5,Semi-Auto,30172,Diesel,42.2,3.0,2016
363, A4,Manual,27016,Diesel,62.8,2.0,2015
364, A4,Manual,7456,Petrol,40.9,2.0,2020
365, A6,Semi-Auto,20,Diesel,55.4,3.0,2019
366, A4,Semi-Auto,4781,Petrol,40.9,2.0,2019
367, Q3,Semi-Auto,40254,Petrol,40.4,2.0,2016
368, TT,Semi-Auto,12320,Petrol,40.9,2.0,2019
369, Q2,Manual,16534,Petrol,49.6,1.4,2018
370, Q3,Semi-Auto,20075,Petrol,42.2,2.0,2017
371, A3,Manual,14401,Petrol,60.1,1.0,2016
372, A3,Semi-Auto,19430,Petrol,47.9,2.0,2016
373, RS4,Semi-Auto,28359,Petrol,26.4,4.2,2013
374, Q8,Semi-Auto,16385,Diesel,33.6,3.0,2019
375, A1,Manual,24764,Diesel,74.3,1.6,2014
376, A1,Manual,26141,Petrol,53.3,1.4,2014
377, A5,Semi-Auto,7532,Petrol,39.2,2.0,2020
378, A5,Semi-Auto,7925,Diesel,45.6,2.0,2020
379, A5,Semi-Auto,7639,Petrol,39.8,2.0,2020
380, Q3,Semi-Auto,7914,Diesel,48.7,2.0,2020
381, Q5,Semi-Auto,15706,Petrol,40.4,2.0,2018
382, A4,Manual,4598,Petrol,38.2,2.0,2019
383, A8,Semi-Auto,6588,Diesel,48.7,3.0,2018
384, Q7,Semi-Auto,48248,Diesel,47.9,3.0,2016
385, A3,Semi-Auto,4549,Petrol,34.5,2.0,2019
386, A1,Manual,7564,Petrol,51.4,1.0,2019
387, A8,Semi-Auto,11276,Diesel,48.7,3.0,2018
388, A4,Manual,20141,Diesel,67.3,2.0,2016
389, A3,Manual,16555,Petrol,60.1,1.4,2016
390, A1,Manual,8608,Petrol,67.3,1.0,2017
391, Q3,Manual,18380,Petrol,49.6,1.4,2017
392, Q3,Semi-Auto,27136,Petrol,40.4,2.0,2017
393, A3,Manual,36409,Petrol,60.1,1.4,2016
394, A6,Semi-Auto,35219,Diesel,50.4,3.0,2017
395, Q5,Semi-Auto,10252,Petrol,40.4,2.0,2018
396, A3,Manual,16380,Diesel,67.3,1.6,2018
397, A3,Semi-Auto,30530,Diesel,64.2,2.0,2015
398, Q5,Semi-Auto,37129,Diesel,42.2,3.0,2016
399, A3,Manual,36400,Petrol,61.4,1.4,2017
400, Q7,Semi-Auto,8618,Diesel,32.8,3.0,2018
401, Q2,Manual,9634,Petrol,50.4,1.4,2018
402, Q2,Semi-Auto,18355,Diesel,68.9,1.6,2017
403, Q5,Semi-Auto,28604,Petrol,40.9,2.0,2017
404, A1,Manual,15187,Diesel,76.3,1.6,2017
405, A5,Semi-Auto,43417,Diesel,50.4,2.0,2015
406, A8,Semi-Auto,12195,Diesel,50.4,3.0,2018
407, A5,Semi-Auto,12686,Diesel,58.9,3.0,2018
408, A1,Semi-Auto,5356,Petrol,44.1,1.5,2019
409, A4,Semi-Auto,7963,Petrol,41.5,2.0,2020
410, A5,Semi-Auto,7423,Diesel,51.4,2.0,2020
411, A1,Manual,12148,Petrol,67.3,1.0,2017
412, Q5,Semi-Auto,44525,Diesel,42.2,3.0,2016
413, Q3,Manual,20952,Diesel,55.4,2.0,2016
414, A6,Semi-Auto,4582,Diesel,39.2,3.0,2019
415, Q5,Manual,36970,Diesel,47.9,2.0,2014
416, Q3,Manual,38244,Petrol,49.6,1.4,2015
417, Q7,Semi-Auto,26407,Diesel,47.9,3.0,2015
418, Q2,Manual,6484,Diesel,49.6,1.6,2019
419, A3,Manual,3325,Diesel,49.6,1.6,2019
420, Q3,Semi-Auto,9078,Petrol,40.4,2.0,2017
421, A1,Manual,22427,Petrol,67.3,1.0,2017
422, A4,Semi-Auto,41755,Diesel,53.3,2.0,2015
423, A3,Semi-Auto,35455,Petrol,58.9,1.4,2015
424, A3,Manual,14607,Petrol,60.1,1.0,2017
425, A1,Manual,24952,Petrol,55.4,1.4,2016
426, A5,Manual,49640,Diesel,64.2,2.0,2014
427, Q3,Manual,21576,Petrol,49.6,1.4,2017
428, Q5,Semi-Auto,20870,Diesel,55.4,2.0,2017
429, A4,Semi-Auto,30300,Diesel,62.8,2.0,2017
430, Q3,Manual,22353,Diesel,49.6,2.0,2016
431, Q3,Semi-Auto,23205,Diesel,55.4,2.0,2016
432, A1,Manual,15361,Petrol,55.4,1.4,2017
433, A6,Semi-Auto,8598,Diesel,47.9,2.0,2019
434, A3,Semi-Auto,6000,Diesel,52.3,1.6,2019
435, A3,Semi-Auto,5199,Diesel,52.3,1.6,2019
436, A1,Manual,15092,Petrol,57.7,1.4,2018
437, A3,Semi-Auto,3059,Petrol,43.5,2.0,2017
438, TT,Semi-Auto,28475,Petrol,40.9,2.0,2016
439, A3,Manual,35804,Petrol,54.3,1.4,2013
440, A3,Manual,24000,Petrol,60.1,1.4,2017
441, Q7,Semi-Auto,3264,Diesel,33.6,3.0,2019
442, A3,Semi-Auto,2868,Diesel,52.3,1.6,2019
443, A4,Semi-Auto,6541,Diesel,47.9,2.0,2019
444, Q5,Semi-Auto,4511,Diesel,38.2,2.0,2019
445, Q3,Semi-Auto,27057,Petrol,47.9,1.4,2017
446, A4,Manual,42185,Diesel,55.4,2.0,2013
447, Q5,Semi-Auto,59120,Diesel,47.1,2.0,2015
448, A5,Semi-Auto,41431,Diesel,52.3,2.0,2016
449, Q5,Semi-Auto,30,Petrol,33.2,2.0,2019
450, Q5,Semi-Auto,5065,Diesel,38.2,2.0,2019
451, Q5,Semi-Auto,4638,Diesel,38.2,2.0,2019
452, RS6,Semi-Auto,34926,Petrol,29.4,4.0,2017
453, Q2,Semi-Auto,4642,Diesel,46.3,1.6,2018
454, A6,Semi-Auto,29558,Diesel,67.3,2.0,2015
455, A6,Semi-Auto,4899,Diesel,47.9,2.0,2019
456, A3,Manual,17000,Petrol,60.1,1.4,2017
457, A4,Semi-Auto,51204,Diesel,56.5,2.0,2017
458, A3,Semi-Auto,38776,Petrol,56.5,1.4,2013
459, Q3,Manual,21972,Petrol,49.6,1.4,2017
460, TT,Semi-Auto,17648,Petrol,34.5,2.5,2018
461, Q2,Semi-Auto,5674,Petrol,52.3,1.4,2017
462, A5,Semi-Auto,22086,Diesel,62.8,2.0,2017
463, A8,Semi-Auto,10090,Petrol,37.7,3.0,2019
464, Q3,Semi-Auto,20825,Petrol,47.9,1.4,2015
465, A1,Manual,20042,Petrol,57.6,1.4,2015
466, Q2,Manual,3657,Diesel,49.6,1.6,2019
467, Q2,Manual,4502,Diesel,47.9,1.6,2019
468, A4,Semi-Auto,31214,Diesel,67.3,2.0,2017
